OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679936,273004,SGL-424,23RD AVE E AND E MADISON ST,7/8/2025,POOR
679939,273007,SGL-861,CEDAR ST AND ELLIOTT AVE,8/13/2025,POOR
679944,273012,SGL-318,FAIRVIEW AVE N AND YALE AVE N,10/10/2025,POOR
679945,273013,SGL-76,5TH AVE AND SENECA ST,7/18/2025,POOR
679946,273014,SGL-966,4TH AVE SB OFF RP AND EDGAR MARTINEZ DR S,10/10/2025,GOOD
679947,273014,SGL-966,4TH AVE SB OFF RP AND EDGAR MARTINEZ DR S,10/10/2025,GOOD
679948,273015,SGL-250,17TH AVE NW AND NW MARKET ST,8/8/2025,POOR
679950,273017,SGL-357,15TH AVE NE AND NE 43RD ST,2/3/2025,FAIR
679952,273020,SGL-191,FAIRVIEW AVE N AND THOMAS ST,10/30/2025,POOR
679957,273025,SGL-244,20TH AVE NW AND NW 65TH ST,8/15/2025,FAIR
679958,273026,SGL-393,MONTLAKE BLVD NE AND NE PACIFIC PL,5/2/2025,POOR
679960,273028,SGL-529,BEACON AVE S AND S HANFORD ST,10/10/2025,POOR
679966,273033,SGL-166,5TH AVE AND VINE ST,7/21/2025,POOR
679970,273038,SGL-239,15TH AVE NW AND NW 85TH ST,10/10/2025,FAIR
679972,273040,SGL-597,DIAGONAL AVE S AND EAST MARGINAL WAY S,10/10/2025,POOR
679974,273042,SGL-884,SUMMIT AVE E AND E OLIVE WAY,5/21/2025,FAIR
679975,273043,SGL-943,3RD AVE AND XW JEFFERSON,10/10/2025,POOR
679978,273046,SGL-578,1ST AVE S AND S SPOKANE NR ST,10/10/2025,POOR
679979,273046,SGL-578,1ST AVE S AND S SPOKANE NR ST,10/10/2025,POOR
679980,273047,SGL-528,23RD AVE S AND S MCCLELLAN ST,9/30/2025,GOOD
679982,273049,SGL-726,AIRPORT WAY S AND AIRPORT SB WAY S,10/10/2025,POOR
679983,273050,SGL-781,CORSON AVE S AND S MICHIGAN ST,10/10/2025,POOR
679990,273057,SGL-193,FAIRVIEW AVE N AND VALLEY UPPER ST,10/10/2025,POOR
